Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office,Domestic Profit,Percentile Of Domestic Profit,Total % of Domestic Profit
Star Wars: The Clone Wars,"$8,500,000 ","$14,611,273 ","$35,161,554 ","$68,695,443 ","$26,661,554 ",9.09%,17.65%
Solo: A Star Wars Story,"$275,000,000 ","$84,420,489 ","$213,767,512 ","$393,151,347 ","($61,232,488)",0.00%,0.00%
Star Wars Ep. V: The Empire…,"$23,000,000 ","$4,910,483 ","$291,738,960 ","$549,001,242 ","$268,738,960 ",45.45%,82.35%
Star Wars Ep. VI: Return of…,"$32,500,000 ","$23,019,618 ","$309,205,079 ","$475,106,177 ","$276,705,079 ",54.55%,83.82%
Star Wars Ep. II: Attack of…,"$115,000,000 ","$80,027,814 ","$310,676,740 ","$656,695,615 ","$195,676,740 ",18.18%,69.12%
Star Wars Ep. III: Revenge …,"$115,000,000 ","$108,435,841 ","$380,270,577 ","$848,998,877 ","$265,270,577 ",36.36%,80.88%
Star Wars Ep. IV: A New Hope,"$11,000,000 ","$1,554,475 ","$460,998,007 ","$775,398,007 ","$449,998,007 ",90.91%,94.12%
Star Wars Ep. I: The Phanto…,"$115,000,000 ","$64,810,970 ","$474,544,677 ","$1,027,044,677 ","$359,544,677 ",81.82%,89.71%
Star Wars: The Rise of Skyw…,"$275,000,000 ","$177,383,864 ","$515,202,542 ","$1,072,848,487 ","$240,202,542 ",27.27%,75.00%
Rogue One: A Star Wars Story,"$200,000,000 ","$155,081,681 ","$532,177,324 ","$1,055,135,598 ","$332,177,324 ",63.64%,86.76%
Star Wars Ep. VIII: The Las…,"$262,000,000 ","$220,009,584 ","$620,181,382 ","$1,331,635,141 ","$358,181,382 ",72.73%,88.24%
Star Wars Ep. VII: The Forc…,"$306,000,000 ","$247,966,675 ","$936,662,225 ","$2,064,615,817 ","$630,662,225 ",100.00%,100.00%
